site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,network_generation_inferred,network_generation_confidence,carrier_support_local,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,hk,【香港・マカオ eSIM】利用日数を簡単設定共通して用いられるeSIM 30 日間 超高速データ無制限オンラインサービスにて納品 簡単登録 eSIM,12990,,General seller,12,,,,30일,30일,30일,local,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aa-ESIM-%e5%88%a9%e7%94%a8%e6%97%a5%e6%95%b0%e3%82%92%e7%b0%a1%e5%8d%98%e8%a8%ad%e5%ae%9a%e5%85%b1%e9%80%9a%e3%81%97%e3%81%a6%e7%94%a8%e3%81%84%e3%82%89%e3%82%8c%e3%82%8bESIM-30-%e6%97%a5%e9%96%93-%e8%b6%85%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90%e3%82%aa%e3%83%b3%e3%83%a9%e3%82%a4%e3%83%b3%e3%82%b5%e3%83%bc%e3%83%93%e3%82%b9%e3%81%ab%e3%81%a6%e7%b4%8d%e5%93%81/1121900394,,1121900394,Travel,,"{""title"": [""【香港・マカオ eSIM】利用日数を簡単設定共通して用いられるeSIM 30 日間 超高速データ無制限オンラインサービスにて納品 簡単登録 eSIM""], ""option_candidates"": [""30日(超高速無限データ)""], ""representative_option"": [""30日(超高速無限データ)"", ""title_match_score=8""], ""price_jpy"": [""販売価格 12,990円 + option surcharge 0"", ""30日(超高速無限データ)""], ""usage_validity"": [""30日(超高速無限データ)""], ""activation_validity"": [""【香港・マカオ eSIM】利用日数を簡単設定共通して用いられるeSIM 30 日間 超高速データ無制限オンラインサービスにて納品 簡単登録 eSIM""], ""data_amount"": [""30日(超高速無限データ)""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""Travel""], ""seller_badge"": [""search_result: General seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
qoo10_jp,hk,【香港・マカオ eSIM】利用日数を簡単設定共通して用いられるeSIM 15 日間 超高速データ無制限オンラインサービスにて納品 簡単登録 eSIM,7296,,General seller,13,,,,15일,15일,15일,local,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aa-ESIM-%e5%88%a9%e7%94%a8%e6%97%a5%e6%95%b0%e3%82%92%e7%b0%a1%e5%8d%98%e8%a8%ad%e5%ae%9a%e5%85%b1%e9%80%9a%e3%81%97%e3%81%a6%e7%94%a8%e3%81%84%e3%82%89%e3%82%8c%e3%82%8bESIM-15-%e6%97%a5%e9%96%93-%e8%b6%85%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90%e3%82%aa%e3%83%b3%e3%83%a9%e3%82%a4%e3%83%b3%e3%82%b5%e3%83%bc%e3%83%93%e3%82%b9%e3%81%ab%e3%81%a6%e7%b4%8d%e5%93%81/1121898165,,1121898165,Travel,,"{""title"": [""【香港・マカオ eSIM】利用日数を簡単設定共通して用いられるeSIM 15 日間 超高速データ無制限オンラインサービスにて納品 簡単登録 eSIM""], ""option_candidates"": [""15日(超高速無限データ)""], ""representative_option"": [""15日(超高速無限データ)"", ""title_match_score=8""], ""price_jpy"": [""販売価格 7,296円 + option surcharge 0"", ""15日(超高速無限データ)""], ""usage_validity"": [""15日(超高速無限データ)""], ""activation_validity"": [""【香港・マカオ eSIM】利用日数を簡単設定共通して用いられるeSIM 15 日間 超高速データ無制限オンラインサービスにて納品 簡単登録 eSIM""], ""data_amount"": [""15日(超高速無限データ)""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""Travel""], ""seller_badge"": [""search_result: General seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
qoo10_jp,hk,香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,1260,5,Power seller,14,,,,5일,5일,90일,local,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%afESIM-%e3%83%9e%e3%82%ab%e3%82%aaESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-5%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1117854536,,1117854536,いーしむさん,,"{""title"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 1,260円""], ""usage_validity"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 5""], ""seller_badge"": [""search_result: Power seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
qoo10_jp,hk,【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速2日間 データ無制限 無制限 QRコードで eSIM 2日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM,990,,Good seller,15,,,,2일,2일,3일,unknown,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%85%b1%e9%80%9a%e3%81%97%e3%81%a6%e7%94%a8-%e4%b8%ad%e5%9b%bd-%e9%a6%99%e6%b8%af-%e3%83%9e%e3%82%ab%e3%82%aa-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f2%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7-ESIM-2%e6%97%a5%e9%96%93/1187433027,,1187433027,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速2日間 データ無制限 無制限 QRコードで eSIM 2日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM""], ""price_jpy"": [""販売価格 990円""], ""usage_validity"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速2日間 データ無制限 無制限 QRコードで eSIM 2日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""data_amount"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速2日間 データ無制限 無制限 QRコードで eSIM 2日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)"", ""local_claim_refers_to:cn""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""seller_badge"": [""search_result: Good seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
qoo10_jp,hk,【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速1日間 データ無制限 無制限 QRコードで eSIM 1日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM,490,1,Good seller,16,,,,1일,1일,3일,unknown,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%85%b1%e9%80%9a%e3%81%97%e3%81%a6%e7%94%a8-%e4%b8%ad%e5%9b%bd-%e9%a6%99%e6%b8%af-%e3%83%9e%e3%82%ab%e3%82%aa-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f1%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7-ESIM-1%e6%97%a5%e9%96%93/1187431231,,1187431231,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速1日間 データ無制限 無制限 QRコードで eSIM 1日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM""], ""price_jpy"": [""販売価格 490円""], ""usage_validity"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速1日間 データ無制限 無制限 QRコードで eSIM 1日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""data_amount"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速1日間 データ無制限 無制限 QRコードで eSIM 1日間 eSIM中国 eSIM 中国 中国eSIM 中国 eSIM""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)"", ""local_claim_refers_to:cn""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: Good seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
qoo10_jp,hk,【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 2日間 データ無制限 eSIM 2日間 無制限 QRコードで 香港 esim 2日間 esim 香港,850,,Good seller,17,,,,2일,2일,3일,local,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%af-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e9%a6%99%e6%b8%af-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-2%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-2%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1180496958,,1180496958,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 2日間 データ無制限 eSIM 2日間 無制限 QRコードで 香港 esim 2日間 esim 香港""], ""option_candidates"": [""2日 香港（超高速無制限のトラフィック） - 数量 : 999997""], ""representative_option"": [""2日 香港（超高速無制限のトラフィック） - 数量 : 999997"", ""title_match_score=8""], ""price_jpy"": [""販売価格 850円 + option surcharge 0"", ""2日 香港（超高速無制限のトラフィック） - 数量 : 999997""], ""usage_validity"": [""2日 香港（超高速無制限のトラフィック） - 数量 : 999997""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""data_amount"": [""2日 香港（超高速無制限のトラフィック） - 数量 : 999997""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""seller_badge"": [""search_result: Good seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
qoo10_jp,hk,香港eSIM マカオeSIM 安心の日本企業 3日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,910,18,Power seller,18,,,,3일,3일,90일,local,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%afESIM-%e3%83%9e%e3%82%ab%e3%82%aaESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-3%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1117853212,,1117853212,いーしむさん,,"{""title"": [""香港eSIM マカオeSIM 安心の日本企業 3日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 910円""], ""usage_validity"": [""香港eSIM マカオeSIM 安心の日本企業 3日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""香港eSIM マカオeSIM 安心の日本企業 3日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""香港eSIM マカオeSIM 安心の日本企業 3日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 18""], ""seller_badge"": [""search_result: Power seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
qoo10_jp,hk,【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 3日間 データ無制限 eSIM 3日間 無制限 QRコードで 台湾 esim 3日間 esim 香港,840,3,Power seller,22,,,,3일,3일,3일,local,unknown,unknown,low,,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%af-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e9%a6%99%e6%b8%af-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-3%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-3%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1176399693,,1176399693,正規eSIM 即時対応 60万枚突破 �...,,"{""title"": [""【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 3日間 データ無制限 eSIM 3日間 無制限 QRコードで 台湾 esim 3日間 esim 香港""], ""price_jpy"": [""販売価格 840円""], ""usage_validity"": [""【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 3日間 データ無制限 eSIM 3日間 無制限 QRコードで 台湾 esim 3日間 esim 香港""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""data_amount"": [""【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 3日間 データ無制限 eSIM 3日間 無制限 QRコードで 台湾 esim 3日間 esim 香港""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""正規eSIM 即時対応 60万枚突破 �...""], ""review_count"": [""search_result: 3""], ""seller_badge"": [""search_result: Power seller""], ""network_generation"": [""fallback_5g: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_4g_lte: network_generation: fallback_5g: network_generation: no_lte_4g_or_5g_keyword_matched"", ""fallback_only_network_generation_signal""], ""network_generation_inferred"": [""no_medium_generation_signal""]}"
